SR_NUMBER;SR_SHORT_CODE;OWNER_DEPARTMENT;STATUS;CREATED_DATE;STREET_NUMBER;STREET_DIRECTION;STREET_NAME;STREET_TYPE;COMMUNITY_AREA;LATITUDE;LONGITUDE
SR20-05580030;311IOC;311 City Services;Completed;2020-12-06 10:08:17;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580031;AVN;Aviation;Completed;2020-12-06 10:09:15;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580033;SGQ;Streets and Sanitation;Completed;2020-12-06 10:09:22;1926;W;GRAND;AVE;WEST TOWN;41.891048926;-87.675610338
SR20-05580034;311IOC;311 City Services;Completed;2020-12-06 10:09:42;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580035;311IOC;311 City Services;Completed;2020-12-06 10:10:53;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580036;311IOC;311 City Services;Completed;2020-12-06 10:10:59;2111;W;Lexington;ST;SOUTH DEERING;41.721992754;-87.561608082
SR20-05580037;AVN;Aviation;Completed;2020-12-06 10:11:24;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580038;311IOC;311 City Services;Completed;2020-12-06 10:11:31;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580039;SDP;Streets and Sanitation;Completed;2020-12-06 10:11:55;1142;W;ALTGELD;ST;LINCOLN PARK;41.927352654;-87.657825042
SR20-05580042;311IOC;311 City Services;Completed;2020-12-06 10:12:29;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580044;311IOC;311 City Services;Completed;2020-12-06 10:12:52;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580045;311IOC;311 City Services;Completed;2020-12-06 10:12:53;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580046;311IOC;311 City Services;Completed;2020-12-06 10:13:02;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580049;311IOC;311 City Services;Completed;2020-12-06 10:14:21;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580050;311IOC;311 City Services;Completed;2020-12-06 10:14:24;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580051;311IOC;311 City Services;Completed;2020-12-06 10:14:29;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580052;311IOC;311 City Services;Completed;2020-12-06 10:14:33;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
