SR_NUMBER;SR_SHORT_CODE;OWNER_DEPARTMENT;STATUS;CREATED_DATE;STREET_NUMBER;STREET_DIRECTION;STREET_NAME;STREET_TYPE;COMMUNITY_AREA;LATITUDE;LONGITUDE
SR20-05579815;AVN;Aviation;Completed;2020-12-06 09:08:46;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579816;AVN;Aviation;Completed;2020-12-06 09:08:48;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579817;AVN;Aviation;Completed;2020-12-06 09:08:54;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579818;AVN;Aviation;Completed;2020-12-06 09:09:24;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579819;AVN;Aviation;Completed;2020-12-06 09:09:31;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579821;AVN;Aviation;Completed;2020-12-06 09:09:51;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579822;311IOC;311 City Services;Completed;2020-12-06 09:10:01;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579824;SDP;Streets and Sanitation;Completed;2020-12-06 09:10:40;2001;W;GRAND;AVE;WEST TOWN;41.890831753;-87.676914517
SR20-05579825;AVN;Aviation;Completed;2020-12-06 09:10:52;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579826;311IOC;311 City Services;Completed;2020-12-06 09:11:07;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579827;AVN;Aviation;Completed;2020-12-06 09:11:38;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579828;311IOC;311 City Services;Completed;2020-12-06 09:11:38;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579829;311IOC;311 City Services;Completed;2020-12-06 09:11:56;2111;W;Lexington;ST;KENWOOD;41.807684358;-87.592276107
SR20-05579831;AVN;Aviation;Completed;2020-12-06 09:12:08;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579832;SDR;Streets and Sanitation;Completed;2020-12-06 09:12:13;2608;W;VAN BUREN;ST;EAST GARFIELD PARK;41.876359611;-87.691893421
SR20-05579834;AVN;Aviation;Completed;2020-12-06 09:13:28;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579835;AVN;Aviation;Completed;2020-12-06 09:13:30;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579836;AVN;Aviation;Completed;2020-12-06 09:13:54;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579837;AVN;Aviation;Completed;2020-12-06 09:14:50;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579838;EAQ;Animal Care and Control;Completed;2020-12-06 09:14:54;2801;W;63RD;ST;CHICAGO LAWN;41.779123607;-87.693398114
SR20-05579840;AVN;Aviation;Completed;2020-12-06 09:15:08;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579843;311IOC;311 City Services;Completed;2020-12-06 09:15:51;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579846;AVN;Aviation;Completed;2020-12-06 09:16:22;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579847;AVN;Aviation;Completed;2020-12-06 09:16:29;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579849;AVN;Aviation;Completed;2020-12-06 09:17:00;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579850;311IOC;311 City Services;Completed;2020-12-06 09:17:06;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579851;AVN;Aviation;Completed;2020-12-06 09:17:37;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579853;AVN;Aviation;Completed;2020-12-06 09:17:46;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579854;311IOC;311 City Services;Completed;2020-12-06 09:17:51;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579855;311IOC;311 City Services;Completed;2020-12-06 09:17:58;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579856;311IOC;311 City Services;Completed;2020-12-06 09:18:09;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579858;AVN;Aviation;Completed;2020-12-06 09:19:55;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579859;311IOC;311 City Services;Completed;2020-12-06 09:20:20;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579861;311IOC;311 City Services;Completed;2020-12-06 09:20:36;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579862;311IOC;311 City Services;Completed;2020-12-06 09:20:56;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579865;311IOC;311 City Services;Completed;2020-12-06 09:21:36;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579866;AVN;Aviation;Completed;2020-12-06 09:21:43;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579867;AVN;Aviation;Completed;2020-12-06 09:21:51;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579868;SEF;Streets and Sanitation;Completed;2020-12-06 09:21:52;1949;W;CHICAGO;AVE;WEST TOWN;41.89571712;-87.676539069
