Unique Key;Created Date;Agency Name;Complaint Type;Incident Address;Status;Borough;Latitude;Longitude
61810154;2024-07-15 13:26:09;HPD;APPLIANCE;916 REV JAMES POLITE AVENUE;Closed;BRONX;40.820871713141045;-73.89891900352112
61810159;2024-07-15 08:20:12;HPD;DOOR/WINDOW;741 COSTER STREET;Closed;BRONX;40.81522635243231;-73.88763066874677
61810153;2024-07-15 18:56:52;HPD;APPLIANCE;84-20 AUSTIN STREET;Closed;QUEENS;40.70766822944756;-73.82782970552944
61810168;2024-07-15 16:49:46;HPD;FLOORING/STAIRS;826 CROWN STREET;Closed;BROOKLYN;40.66515499249638;-73.93017590534967
61810164;2024-07-15 08:45:08;HPD;ELECTRIC;2461 DAVIDSON AVENUE;Closed;BRONX;40.86318677236925;-73.90194938707823
61810169;2024-07-15 15:34:42;HPD;APPLIANCE;137 WEST  144 STREET;Closed;MANHATTAN;40.8204906095892;-73.93841671810773
61810163;2024-07-15 14:04:51;HPD;DOOR/WINDOW;55 LENOX ROAD;Closed;BROOKLYN;40.653692477421174;-73.95769324445949
61415282;2024-06-08 04:50:41;NYPD;Illegal Parking;78-30 82 STREET;Closed;QUEENS;40.70446730153838;-73.86673983012173
61810180;2024-07-15 13:55:57;HPD;DOOR/WINDOW;561 WEST  144 STREET;Closed;MANHATTAN;40.82523620247919;-73.9496820226978
61810173;2024-07-15 10:59:15;HPD;ELECTRIC;115 LOGAN STREET;Closed;BROOKLYN;40.683718634805174;-73.87827947351093
61810175;2024-07-15 17:09:55;HPD;FLOORING/STAIRS;178-60 WEXFORD TERRACE;Closed;QUEENS;40.71365218283776;-73.78407695377884
61810178;2024-07-15 03:23:07;HPD;GENERAL;235 SULLIVAN STREET;Closed;MANHATTAN;40.72971114621691;-73.99964641012167
61810192;2024-07-15 13:11:07;HPD;GENERAL;1356 NEW YORK AVENUE;Open;BROOKLYN;40.63983716291374;-73.94549798733397
61810193;2024-07-15 13:23:04;HPD;HEAT/HOT WATER;35-64 84 STREET;Closed;QUEENS;40.75159302851327;-73.8827644638668
61810195;2024-07-15 14:32:54;HPD;ELECTRIC;55 EAST  179 STREET;Closed;BRONX;40.85213838561079;-73.90743110503962
61810197;2024-07-15 12:20:40;HPD;GENERAL;64 SCHOLES STREET;Closed;BROOKLYN;40.70837792176574;-73.94758444934182
61810217;2024-07-15 17:35:13;HPD;PAINT/PLASTER;764 THOMAS S BOYLAND STREET;Closed;BROOKLYN;40.66171675621574;-73.91163134569754
61810222;2024-07-15 22:27:36;HPD;PAINT/PLASTER;11 SEAMAN AVENUE;Closed;MANHATTAN;40.86655695619762;-73.92753844657459
61810212;2024-07-15 11:13:40;HPD;PAINT/PLASTER;771 MONROE STREET;Closed;BROOKLYN;40.68834002809997;-73.92566598363445
61810232;2024-07-15 08:45:08;HPD;PAINT/PLASTER;2461 DAVIDSON AVENUE;Closed;BRONX;40.86318677236925;-73.90194938707823
61810225;2024-07-15 09:31:09;HPD;PAINT/PLASTER;330 WEST   95 STREET;Closed;MANHATTAN;40.79508269493676;-73.97491019376804
61810242;2024-07-15 07:46:26;HPD;PAINT/PLASTER;2140 BARNES AVENUE;Closed;BRONX;40.8546724674753;-73.86385427474612
61810241;2024-07-15 18:37:25;HPD;PAINT/PLASTER;246 WEST   21 STREET;Closed;MANHATTAN;40.743465088620674;-73.99815229192362
61810234;2024-07-15 09:56:58;HPD;PLUMBING;505 EAST  178 STREET;Closed;BRONX;40.8479899040378;-73.89630428649004
61810239;2024-07-15 17:25:49;HPD;PLUMBING;2358 WEBSTER AVENUE;Closed;BRONX;40.85777596403407;-73.89458635897864
61810237;2024-07-15 11:02:29;HPD;PAINT/PLASTER;771 MONROE STREET;Closed;BROOKLYN;40.68834002809997;-73.92566598363445
61810247;2024-07-15 09:53:36;HPD;PAINT/PLASTER;657 EAST   26 STREET;Closed;BROOKLYN;40.63460858123043;-73.95220368634733
61810255;2024-07-15 15:41:23;HPD;PLUMBING;59-29 QUEENS BOULEVARD;Closed;QUEENS;40.74160637319744;-73.90526788866985
61810256;2024-07-15 09:05:56;HPD;UNSANITARY CONDITION;144 WYTHE AVENUE;Closed;BROOKLYN;40.72020449378193;-73.95971453993519
