Complaint Type
Smoking
Illegal Tree Damage
Panhandling
Dirty Condition
LinkNYC
OUTSIDE BUILDING
Calorie Labeling
Highway Sign - Missing
OEM Disabled Vehicle
Special Enforcement
Noise - Residential
Bus Stop Shelter Placement
ELEVATOR
Advocate-Commercial Exemptions
Maintenance or Facility
Electronics Waste Appointment
Street Sign - Missing
DPR Internal
Highway Condition
Public Assembly - Temporary
Private School Vaccine Mandate Non-Compliance
Drinking Water
Sweeping/Missed
MSOTHER
Snow Removal
SG-99
Homeless Encampment
NONCONST
Obstruction
MOLD
Uprooted Stump
Interior Demo
Seasonal Collection
Sprinkler - Mechanical
FLOORING/STAIRS
Bike Rack Condition
New Tree Request
Highway Sign - Damaged
Noise - Park
Vendor Enforcement
Taxi Licensee Complaint
Recycling Basket Complaint
Electrical
STRUCTURAL
Incorrect Data
Harboring Bees/Wasps
Commercial Disposal Complaint
Construction Lead Dust
Water Drainage
ATF
Traffic Signal Condition
Vaccine Mandate Non-Compliance
Legal Services Provider Complaint
Dead Tree
Standpipe - Mechanical
Appliance
SNW
Discipline and Suspension
Boiler
Unlicensed Dog
Beach/Pool/Sauna Complaint
Noise - Helicopter
DSNY Spillage
Advocate-UBT
Hazmat Storage/Use
Root/Sewer/Sidewalk Condition
Rangehood
Green Taxi Complaint
Litter Basket Request
FCST
Dispatched Taxi Compliment
Pet Shop
Noise - Street/Sidewalk
FATF
Building Marshals office
Litter Basket / Request
Safety
Leaning Bar
Air Quality
Tunnel Condition
CONSTRUCTION
Retailer Complaint
Benefit Card Replacement
Animal-Abuse
Asbestos/Garbage Nuisance
WATER LEAK
VACANT APARTMENT
Emergency Response Team (ERT)
Facades
Literature Request
Oil or Gas Spill
Stalled Sites
Registration and Transfers
DOOR/WINDOW
Noise
Dispatched Taxi Complaint
Electronics Waste
Boilers
Noise - Vehicle
FHV Licensee Complaint
Bridge Condition
Transfer Station Complaint
Street Sweeping Complaint
Curb Condition
Advocate-Foreclosure
Cranes and Derricks
Parent Leadership
Private or Charter School Reopening
Gas Station Discharge Lines
GENERAL CONSTRUCTION
Building Marshal's Office
Building Condition
Adopt-A-Basket
DOF Property - Reduction Issue
Damaged Tree
Advocate - Lien
Forensic Engineering
Broken Muni Meter
Fire Alarm - Modification
Door/Window
Unstable Building
X-Ray Machine/Equipment
Encampment
Advocate-Business Tax
DEP Street Condition
Water Maintenance
Vending
Unsanitary Animal Pvt Property
Dead Animal
Street Condition
Graffiti
Hazardous Materials
Homeless Person Assistance
Snow
Change Collection Schedule
City Vehicle Placard Complaint
Taxi Compliment
Municipal Parking Facility
Mass Gathering Complaint
Public Toilet
E-Scooter
Violation of Park Rules
LEAD
Paint/Plaster
Bus Stop Shelter Complaint
Foam Ban Enforcement
Institution Disposal Complaint
Construction
Outside Building
Industrial Waste
UNSANITARY CONDITION
Ferry Complaint
DSNY Internal
Collection Truck Noise
Day Care
Overflowing Recycling Baskets
Special Projects Inspection Team (SPIT)
Heat/Hot Water
Single Occupancy Bathroom
BEST/Site Safety
Water System
Advocate-Personal Exemptions
Electric
Taxi Report
Lifeguard
Indoor Air Quality
Lost Property
Ferry Permit
Bench
HEAT/HOT WATER
Water Leak
Radioactive Material
Residential Disposal Complaint
PAINT/PLASTER
SRGOVG
Smoking or Vaping
Bottled Water
Non-Emergency Police Matter
General
Abandoned Vehicle
Outdoor Dining
DRIE
Executive Inspections
Employee Behavior
Traffic/Illegal Parking
Public Assembly
Quality of Life
Rodent
Derelict Vehicle
PAINT - PLASTER
Tattooing
Noise Survey
Fire Alarm - Replacement
Request Xmas Tree Collection
Health
Food Establishment
Found Property
Storm
Sustainability Enforcement
NonCompliance with Phased Reopening
Summer Camp
Tobacco or Non-Tobacco Sale
GENERAL
Special Operations
Posting Advertisement
Broken Parking Meter
Trans Fat
Cooling Tower
DOF Literature Request
Dumpster Complaint
Non-Residential Heat
Standing Water
Overflowing Litter Baskets
Asbestos
Water Conservation
Public Payphone Complaint
Animal Facility - No Permit
Mold
Abandoned Bike
Unsanitary Animal Facility
Street Sign - Dangling
Transportation Provider Complaint
Illegal Dumping
Squeegee
Dirty Conditions
Vacant Lot
Wood Pile Remaining
Snow or Ice
Taxi Complaint
Derelict Bicycle
Special Natural Area District (SNAD)
Unsanitary Condition
Plant
PLUMBING
Open Flame Permit
Request Large Bulky Item Collection
Flooring/Stairs
Lead
For Hire Vehicle Report
Illegal Animal Kept as Pet
Drinking
Dead/Dying Tree
Disorderly Youth
Recycling Enforcement
Poison Ivy
Senior Center Complaint
Indoor Sewage
Investigations and Discipline (IAD)
Blocked Driveway
General Construction/Plumbing
ZSYSTEST
Street Light Condition
Animal Abuse
Unsanitary Pigeon Condition
Animal in a Park
Urinating in Public
APPLIANCE
Sanitation Condition
Illegal Animal - Sold/Kept
Sewer Maintenance
DOF Parking - Payment Issue
Missed Collection (All Materials)
Mosquitoes
Litter Basket Complaint
Hazardous Material
Dept of Investigations
For Hire Vehicle Complaint
Face Covering Violation
Borough Office
DEP Highway Condition
ELECTRIC
Window Guard
Noise - House of Worship
School Maintenance
Sweeping/Inadequate
Derelict Vehicles
Noise - Commercial
SAFETY
Miscellaneous Categories
Ferry Inquiry
Request Changes - A.S.P.
Illegal Fireworks
Drug Activity
Bike Rack
Consumer Complaint
Building/Use
Food Poisoning
Sewer
Sidewalk Condition
Wayfinding
Highway Sign - Dangling
Overgrown Tree/Branches
Lot Condition
Missed Collection
Trapping Pigeon
Injured Wildlife
HEATING
Water Quality
Other Enforcement
Illegal Animal Sold
Construction Safety Enforcement
Facade Insp Safety Pgm
Real Time Enforcement
DOF Property - Payment Issue
Sanitation Worker or Vehicle Complaint
Scaffold Safety
SRDE
Sweeping/Missed-Inadequate
Illegal Parking
AGENCY
COVID-19 Non-essential Construction
Building Drinking Water Tank
Green Taxi Report
Internal Code
Unleashed Dog
Taxpayer Advocate Inquiry
Traffic
Bike/Roller/Skate Chronic
Portable Toilet
Illegal Posting
Teaching/Learning/Instruction
AHV Inspection Unit
Elevator
Advocate - Levy
Homeless Street Condition
Mobile Food Vendor
Street Sign - Damaged
Advocate - Other
Tanning
Plumbing
Peeling Paint
Fire Alarm - Reinspection
Fire Alarm - New System
ZTESTINT
DEP Sidewalk Condition
DOB Posted Notice or Order
No Child Left Behind
